longitude,latitude,time_rel,gpsspeed
-122.330593,37.58581,89369,24.97284198
-122.330502,37.585757,89370,26.5067706
-122.330405,37.585696,89371,27.54300572
-122.330302,37.585627,89372,28.03303548
-122.330194,37.585551,89373,28.18206817
-122.330085,37.585474,89374,28.25089244
-122.329977,37.585399,89375,28.32938929
-122.329869,37.585322,89376,28.31458265
-122.329764,37.585243,89377,28.05915115
-122.329658,37.585163,89378,27.50691911
-122.329554,37.585082,89379,26.71421078
-122.329453,37.585001,89380,25.79226128
-122.329357,37.584921,89381,24.86368975
-122.329267,37.584842,89382,24.05833261
-122.329184,37.584765,89383,23.49233572
-122.329104,37.58469,89384,23.22462756
-122.32903,37.584619,89385,23.22909199
-122.328957,37.584549,89386,23.39159203
-122.328882,37.58448,89387,23.54508901
-122.328806,37.584409,89388,23.51822879
-122.32873,37.584337,89389,23.15171084
-122.328652,37.584262,89390,22.33437449
-122.328573,37.584192,89391,21.07611559
-122.328496,37.584121,89392,19.50624962
-122.328423,37.584052,89393,17.7803569
-122.328357,37.583991,89394,16.01331834
-122.328298,37.583934,89395,14.29479161
-122.328245,37.583881,89396,12.75275287
-122.328197,37.583834,89397,11.5975444
-122.328155,37.583793,89398,11.07046089
-122.328118,37.583758,89399,11.31815417
-122.328083,37.583727,89400,12.32351118
-122.328049,37.583697,89401,13.92990994
-122.32801,37.583665,89402,15.87462722
-122.327967,37.583626,89403,17.83720166
-122.327919,37.58358,89404,19.56592195
-122.327863,37.583529,89405,21.01056484
-122.327798,37.583469,89406,22.32685957
-122.327726,37.583404,89407,23.71837757
-122.327653,37.583341,89408,25.21636881
-122.327577,37.583272,89409,26.60781236
-122.327492,37.583196,89410,27.64002958
-122.327403,37.583114,89411,28.31711272
-122.327309,37.583025,89412,28.94501424
-122.327214,37.582934,89413,29.8378712
-122.327123,37.582846,89414,30.98266286
-122.327028,37.582757,89415,32.01123448
-122.32693,37.582661,89416,32.49352641
-122.326826,37.582559,89417,32.27187482
-122.326721,37.58245,89418,31.58221712
-122.326617,37.582345,89419,30.9069194
-122.326513,37.582246,89420,30.68526743
-122.32641,37.58215,89421,31.07708279
-122.326311,37.582059,89422,31.9148061
-122.326212,37.581967,89423,32.85654748
-122.326108,37.581873,89424,33.62753002
-122.325999,37.581773,89425,34.16614638
-122.325887,37.581669,89426,34.55342325
-122.325778,37.581566,89427,34.81889934
-122.325665,37.581461,89428,34.8636908
-122.325547,37.581355,89429,34.57544647
-122.325427,37.581247,89430,33.95587771
-122.325308,37.581138,89431,33.11302031
-122.325196,37.581032,89432,32.17120469
-122.325085,37.58093,89433,31.22366008
-122.324976,37.580832,89434,30.37432984
-122.324872,37.580735,89435,29.79188947
-122.324772,37.580643,89436,29.64203833
-122.324675,37.580551,89437,29.90699371
-122.32458,37.580461,89438,30.30133896
-122.324485,37.580371,89439,30.41458299
-122.324385,37.58028,89440,29.96272288
-122.324284,37.580183,89441,28.95141341
-122.324186,37.580085,89442,27.6396575
-122.324098,37.579988,89443,26.36651758
-122.324013,37.579896,89444,25.42239542
-122.323928,37.579812,89445,25.00654702
-122.323846,37.579733,89446,25.18072847
-122.323766,37.579659,89447,25.8468744
-122.323689,37.579584,89448,26.80446392
-122.323612,37.579506,89449,27.82194923
-122.323533,37.579421,89450,28.6854909
-122.32345,37.579332,89451,29.2463538
-122.323362,37.579241,89452,29.45610056
-122.323266,37.57915,89453,29.38325811
-122.323168,37.57906,89454,29.17819858
-122.32307,37.578971,89455,28.95319873
-122.322973,37.578882,89456,28.69226141
-122.322877,37.578795,89457,28.31584785
-122.322781,37.578706,89458,27.8127973
-122.322686,37.578618,89459,27.26599669
-122.322593,37.578533,89460,26.75141336
-122.322502,37.578449,89461,26.24992531
-122.322415,37.578367,89462,25.67433011
-122.322329,37.578286,89463,24.96309501
-122.322243,37.578204,89464,24.16049078
-122.32216,37.578128,89465,23.45349661
-122.322081,37.578054,89466,23.12924052
-122.322003,37.577981,89467,23.44419583
-122.321927,37.577911,89468,24.47991017
-122.321852,37.577843,89469,26.06919598
-122.321778,37.577773,89470,27.85052044
-122.321696,37.577694,89471,29.45781206
-122.321607,37.57761,89472,30.69434462
-122.32151,37.57752,89473,31.52016281
-122.321408,37.577427,89474,31.93392745
-122.321303,37.577332,89475,31.92923987
-122.321198,37.577234,89476,31.54062393
-122.321088,37.577136,89477,30.90535634
-122.320979,37.577038,89478,30.27113042
-122.320874,37.576941,89479,29.90223178
-122.320774,37.576849,89480,29.94508901
-122.320678,37.576758,89481,30.35818428
-122.320582,37.576667,89482,30.92976167
-122.320483,37.576578,89483,31.38095214
-122.32038,37.576484,89484,31.53288662
-122.320274,37.576386,89485,31.42418117
-122.320166,37.57629,89486,31.2666662
-122.320058,37.576193,89487,31.26019293
-122.319952,37.5761,89488,31.42671083
