latitude,longitude,speed_kph,time_seconds
38.887207,-104.756881,60.8,0.0
38.887519,-104.756873,64.96,2.0
38.888372,-104.756864,74.88,7.0
38.888557,-104.756861,74.88,8.0
38.888743,-104.756858,73.92,9.0
38.888922,-104.756858,72.32,10.0
38.889272,-104.756852,68.48,12.0
38.889441,-104.756848,66.56,13.0
38.889604,-104.756847,64.96,14.0
38.889764,-104.756844,63.04,15.0
38.890215,-104.756841,59.84,18.0
38.890509,-104.756844,59.2,20.0
38.890656,-104.756845,59.52,21.0
38.891394,-104.756856,59.52,26.0
38.891694,-104.756878,60.48,28.0
38.891843,-104.756898,61.12,29.0
38.892143,-104.756953,62.4,31.0
38.892452,-104.757032,63.36,33.0
38.892604,-104.757081,62.4,34.0
38.892754,-104.757132,61.44,35.0
38.8929,-104.75719,61.76,36.0
38.893046,-104.757247,61.44,37.0
38.89333,-104.757388,62.08,39.0
38.893608,-104.757556,62.4,41.0
38.893876,-104.757736,60.8,43.0
38.894006,-104.757835,59.84,44.0
38.894259,-104.758035,59.52,46.0
38.894504,-104.758255,60.16,48.0
38.894619,-104.758372,60.48,49.0
38.894735,-104.758494,60.8,50.0
38.895088,-104.758879,63.36,53.0
38.895208,-104.759011,63.68,54.0
38.895328,-104.759142,63.68,55.0
38.895446,-104.759273,64.32,56.0
38.895568,-104.759406,65.28,57.0
38.895941,-104.759821,67.52,60.0
38.896195,-104.7601,68.48,62.0
38.896325,-104.76024,68.48,63.0
38.896454,-104.760381,69.12,64.0
38.896584,-104.760522,69.12,65.0
38.896975,-104.760959,70.08,68.0
38.897107,-104.761102,70.4,69.0
38.897241,-104.761247,70.4,70.0
38.897498,-104.761539,68.16,72.0
38.897751,-104.761822,67.52,74.0
38.897999,-104.762104,67.84,76.0
38.898128,-104.762247,68.48,77.0
38.898256,-104.762385,68.48,78.0
38.898514,-104.762673,69.12,80.0
38.898644,-104.762817,69.76,81.0
38.898775,-104.762962,70.4,82.0
38.89904,-104.763256,72.0,84.0
38.899311,-104.763556,73.28,86.0
38.89945,-104.763712,73.28,87.0
38.899583,-104.763864,71.68,88.0
38.899711,-104.764017,70.4,89.0
38.899831,-104.764173,69.44,90.0
38.900256,-104.764854,68.8,94.0
38.900347,-104.765034,69.12,95.0
38.900698,-104.765853,77.12,99.0
38.900786,-104.766066,77.76,100.0
38.90096,-104.766511,79.36,102.0
38.901126,-104.76697,80.0,104.0
38.901486,-104.767879,80.64,108.0
38.901578,-104.768104,80.64,109.0
38.901948,-104.769005,79.04,113.0
38.902042,-104.769227,78.72,114.0
38.902133,-104.769444,80.0,115.0
38.902317,-104.769902,82.24,117.0
38.902498,-104.770355,79.04,119.0
38.902587,-104.770576,78.72,120.0
38.902943,-104.771456,77.12,124.0
38.903119,-104.771887,76.48,126.0
38.903208,-104.772105,75.84,127.0
38.903377,-104.772526,74.88,129.0
38.903548,-104.772947,74.56,131.0
38.903717,-104.773364,74.24,133.0
38.903886,-104.773781,73.28,135.0
38.904049,-104.774188,70.72,137.0
38.904049,-104.774188,68.16,138.0
38.904351,-104.774948,65.28,141.0
38.9045,-104.775314,64.96,143.0
38.904651,-104.775677,66.24,145.0
38.904886,-104.776249,68.16,148.0
38.904965,-104.77644,68.16,149.0
38.905196,-104.777024,69.76,152.0
38.905274,-104.777221,69.76,153.0
38.905353,-104.777417,70.08,154.0
38.905432,-104.777615,70.4,155.0
38.905758,-104.778413,71.04,159.0
38.90584,-104.778611,70.4,160.0
38.905919,-104.77881,70.08,161.0
38.906,-104.779007,70.08,162.0
38.906237,-104.779598,69.44,165.0
38.906389,-104.779987,68.8,167.0
38.906468,-104.780183,69.12,168.0
38.906544,-104.780379,69.12,169.0
38.906622,-104.780574,70.72,170.0
38.906866,-104.781186,73.6,173.0
38.906949,-104.781396,74.56,174.0
38.907036,-104.781607,75.52,175.0
38.907211,-104.78204,78.08,177.0
38.907298,-104.782261,79.04,178.0
38.907667,-104.783161,81.6,182.0
38.907759,-104.783392,81.92,183.0
38.907851,-104.783623,82.24,184.0
38.907947,-104.783859,82.56,185.0
38.908232,-104.784555,82.56,188.0
38.908327,-104.784786,82.24,189.0
38.908612,-104.785465,79.36,192.0
38.908933,-104.78609,79.04,195.0
38.909347,-104.786673,86.08,198.0
38.909507,-104.786856,86.72,199.0
38.909675,-104.787027,86.72,200.0
38.909849,-104.787189,86.72,201.0
38.91003,-104.787336,87.04,202.0
38.91083,-104.787782,88.32,206.0
38.911246,-104.787917,86.08,208.0
38.911452,-104.787961,83.84,209.0
38.911657,-104.78799,82.56,210.0
38.912469,-104.787967,81.92,214.0
38.912867,-104.787878,81.92,216.0
38.913456,-104.787715,81.28,219.0
38.913652,-104.787662,81.28,220.0
38.913849,-104.787606,81.6,221.0
38.914046,-104.787551,82.56,222.0
38.914449,-104.787438,84.48,224.0
38.914862,-104.787314,84.8,226.0
38.915067,-104.787252,83.84,227.0
38.915268,-104.787191,83.2,228.0
38.916252,-104.786904,78.4,233.0
38.91681,-104.786752,75.2,236.0
38.916993,-104.786712,74.56,237.0
38.917176,-104.786678,74.24,238.0
38.917358,-104.786655,74.24,239.0
38.91773,-104.78665,75.2,241.0
38.917916,-104.786673,75.84,242.0
38.918473,-104.786812,76.8,245.0
38.918836,-104.786972,77.44,247.0
38.919013,-104.787071,77.44,248.0
38.919184,-104.787182,77.76,249.0
38.919349,-104.787308,77.76,250.0
38.920395,-104.788627,71.36,258.0
38.920489,-104.78882,70.72,259.0
38.920787,-104.789606,68.16,263.0
38.921064,-104.79041,70.08,267.0
38.921357,-104.791247,73.28,271.0
38.921738,-104.79204,72.96,275.0
38.92185,-104.79222,72.96,276.0
38.92197,-104.792392,72.96,277.0
38.92223,-104.792713,73.92,279.0
38.922371,-104.792864,74.56,280.0
38.922672,-104.79315,76.48,282.0
38.922832,-104.793281,76.8,283.0
38.922996,-104.793402,76.8,284.0
38.923167,-104.793511,76.8,285.0
38.923339,-104.79361,76.16,286.0
38.923871,-104.79383,74.24,289.0
38.924228,-104.793912,72.32,291.0
38.924403,-104.79394,71.68,292.0
38.924755,-104.793967,72.0,294.0
38.925291,-104.793927,73.28,297.0
38.925472,-104.793894,74.56,298.0
38.926023,-104.793801,74.88,301.0
38.926207,-104.793762,75.2,302.0
38.926579,-104.793689,77.12,304.0
38.927158,-104.793579,80.64,307.0
38.927751,-104.793461,80.32,310.0
38.928337,-104.79334,78.4,313.0
38.929091,-104.793295,74.56,317.0
38.929274,-104.793329,73.6,318.0
38.929776,-104.793568,71.68,321.0
38.929925,-104.793692,71.04,322.0
38.930067,-104.793827,70.08,323.0
38.930862,-104.794634,71.04,329.0
38.931149,-104.794919,74.56,331.0
38.931297,-104.795068,76.16,332.0
38.931445,-104.795221,77.76,333.0
38.931911,-104.795668,78.72,336.0
38.932244,-104.795942,80.0,338.0
38.932401,-104.796071,80.64,339.0
38.93257,-104.796194,81.6,340.0
38.932959,-104.79641,83.52,342.0
38.933344,-104.79661,84.48,344.0
38.933927,-104.796843,80.0,347.0
38.93431,-104.796974,79.36,349.0
38.936,-104.797542,80.0,358.0
38.936192,-104.797606,81.28,359.0
38.936766,-104.797795,77.76,362.0
38.936952,-104.797857,76.48,363.0
38.937312,-104.797975,73.6,365.0
38.937486,-104.798035,72.0,366.0
38.937658,-104.798094,70.08,367.0
38.938145,-104.798262,65.92,370.0
38.938618,-104.798423,65.28,373.0
38.938929,-104.798527,64.96,375.0
38.939083,-104.79858,63.68,376.0
38.939233,-104.798629,61.76,377.0
38.939513,-104.798722,54.72,379.0
38.93964,-104.798762,50.24,380.0
38.939952,-104.798868,35.84,383.0
38.940034,-104.798895,30.72,384.0
38.940101,-104.798915,24.96,385.0
38.940155,-104.798935,23.04,386.0
