latitude,longitude,speed_kph,time_seconds
39.509876,-105.017384,36.16,0.0
39.509938,-105.017298,37.76,1.0
39.510003,-105.017208,35.84,2.0
39.510061,-105.017122,31.04,3.0
39.510211,-105.016931,23.68,6.0
39.510321,-105.016897,21.12,8.0
39.510476,-105.017,32.0,11.0
39.510541,-105.017066,36.8,12.0
39.510611,-105.017142,40.96,13.0
39.510687,-105.017229,45.44,14.0
39.510774,-105.017328,50.88,15.0
39.510869,-105.017439,55.68,16.0
39.510974,-105.017564,60.48,17.0
39.511481,-105.018142,74.56,21.0
39.511621,-105.018305,76.48,22.0
39.511766,-105.01847,78.4,23.0
39.512378,-105.019178,82.24,27.0
39.512845,-105.019725,85.12,30.0
39.513006,-105.019911,85.44,31.0
39.513169,-105.020096,85.44,32.0
39.513332,-105.020277,85.76,33.0
39.513835,-105.020811,84.16,36.0
39.514007,-105.020975,84.48,37.0
39.514358,-105.021296,85.76,39.0
39.514537,-105.02145,86.72,40.0
39.51472,-105.021605,87.04,41.0
39.514904,-105.021762,86.4,42.0
39.515087,-105.021917,86.08,43.0
39.515816,-105.022527,86.72,47.0
39.51638,-105.022978,88.32,50.0
39.516954,-105.023433,90.24,53.0
39.517149,-105.023586,90.88,54.0
39.517345,-105.023741,91.52,55.0
39.517545,-105.023896,92.16,56.0
39.51775,-105.024048,92.8,57.0
39.51816,-105.024345,93.44,59.0
39.518578,-105.02463,93.44,61.0
39.519005,-105.024898,92.48,63.0
39.519216,-105.025028,92.16,64.0
39.519639,-105.025276,92.16,66.0
39.520286,-105.025643,91.84,69.0
39.520499,-105.025763,91.2,70.0
39.520708,-105.025882,91.2,71.0
39.521135,-105.026125,91.52,73.0
39.521346,-105.026248,91.52,74.0
39.521559,-105.026367,91.52,75.0
39.521981,-105.026607,91.2,77.0
39.522193,-105.026726,91.84,78.0
39.522622,-105.026975,93.76,80.0
39.523057,-105.027228,94.72,82.0
39.523275,-105.027356,95.36,83.0
39.523496,-105.027482,95.36,84.0
39.524165,-105.027859,97.28,87.0
39.52484,-105.028241,97.6,90.0
39.525065,-105.02837,97.6,91.0
39.525292,-105.0285,97.92,92.0
39.525518,-105.028633,98.56,93.0
39.525745,-105.02877,98.56,94.0
39.526415,-105.029198,98.56,97.0
39.527071,-105.029671,99.84,100.0
39.527288,-105.029837,100.16,101.0
39.527727,-105.030166,99.2,103.0
39.527944,-105.030335,99.52,104.0
39.528163,-105.030499,99.84,105.0
39.528382,-105.030666,99.84,106.0
39.5286,-105.030831,99.84,107.0
39.529033,-105.031166,99.2,109.0
39.529249,-105.03133,98.56,110.0
39.52968,-105.031657,98.24,112.0
39.530111,-105.031979,98.88,114.0
39.530325,-105.032141,98.56,115.0
39.530975,-105.032626,97.92,118.0
39.531189,-105.032789,97.92,119.0
39.531403,-105.032951,97.6,120.0
39.531831,-105.033268,97.6,122.0
39.532045,-105.033429,98.24,123.0
39.532472,-105.033755,98.56,125.0
39.532686,-105.033918,98.24,126.0
39.533117,-105.034238,97.6,128.0
39.533331,-105.034393,96.64,129.0
39.533756,-105.034708,96.32,131.0
39.533967,-105.034866,96.32,132.0
39.534179,-105.035029,96.64,133.0
39.534818,-105.035508,96.0,136.0
39.53503,-105.035665,96.32,137.0
39.535914,-105.036155,92.8,141.0
39.536142,-105.03622,91.84,142.0
39.536601,-105.036276,88.0,144.0
39.536823,-105.036283,85.76,145.0
39.53704,-105.036278,83.84,146.0
39.537254,-105.03627,83.84,147.0
39.537887,-105.036251,82.24,150.0
39.538095,-105.03625,81.28,151.0
39.538509,-105.036256,81.6,153.0
39.538716,-105.036262,81.6,154.0
39.539136,-105.036279,83.2,156.0
39.539345,-105.036287,84.16,157.0
39.53956,-105.036295,84.8,158.0
39.539778,-105.036299,85.76,159.0
39.540658,-105.036322,86.4,163.0
39.540876,-105.03633,87.04,164.0
39.541095,-105.03634,88.32,165.0
39.541321,-105.036349,89.6,166.0
39.541548,-105.036351,90.56,167.0
39.541779,-105.036355,91.2,168.0
39.54201,-105.036352,91.52,169.0
39.542245,-105.036356,91.84,170.0
39.542714,-105.03636,93.12,172.0
39.543185,-105.036363,92.8,174.0
39.543659,-105.036374,93.44,176.0
39.543895,-105.036379,93.76,177.0
39.544132,-105.03638,94.4,178.0
39.544371,-105.036386,94.4,179.0
39.545083,-105.036388,92.16,182.0
39.545316,-105.036386,90.88,183.0
39.545547,-105.036386,88.96,184.0
39.545773,-105.036384,87.68,185.0
39.54622,-105.036379,86.08,187.0
39.54644,-105.03638,85.44,188.0
39.546875,-105.03638,85.44,190.0
39.547309,-105.036386,85.76,192.0
39.547526,-105.036389,85.76,193.0
39.547744,-105.036388,86.4,194.0
39.548181,-105.036391,88.32,196.0
39.548407,-105.036397,89.6,197.0
39.548863,-105.036415,91.2,199.0
39.549563,-105.036443,93.12,202.0
39.550277,-105.036451,93.76,205.0
