latitude,longitude,speed_kph,time_seconds
39.727048,-105.000267,47.36,0.0
39.726929,-105.000267,47.36,1.0
39.726693,-105.000267,48.32,3.0
39.726459,-105.000267,45.44,5.0
39.726348,-105.000267,42.56,6.0
39.726247,-105.000266,39.36,7.0
39.725983,-105.000362,35.2,10.0
39.725918,-105.000436,35.52,11.0
39.725865,-105.000529,36.48,12.0
39.725826,-105.000634,37.76,13.0
39.725801,-105.000756,39.36,14.0
39.725789,-105.000883,41.6,15.0
39.725784,-105.001016,44.16,16.0
39.725781,-105.001159,47.36,17.0
39.725778,-105.002224,61.44,23.0
39.725781,-105.002422,61.76,24.0
39.72578,-105.002823,63.36,26.0
39.725777,-105.003236,64.96,28.0
39.725775,-105.003446,65.6,29.0
39.725775,-105.003655,64.32,30.0
39.725777,-105.003858,64.32,31.0
39.725778,-105.004066,64.64,32.0
39.725775,-105.004691,64.96,35.0
39.725775,-105.004899,65.6,36.0
39.725777,-105.005325,67.52,38.0
39.725784,-105.005984,70.08,41.0
39.725791,-105.00621,71.04,42.0
39.725803,-105.006672,72.96,44.0
39.725829,-105.007377,73.92,47.0
39.725851,-105.008091,73.92,50.0
39.725843,-105.008562,73.28,52.0
39.725835,-105.009026,71.68,54.0
39.725829,-105.009256,70.4,55.0
39.725809,-105.010126,65.92,59.0
39.725804,-105.010337,66.24,60.0
39.725784,-105.011198,69.12,64.0
39.725777,-105.011421,70.08,65.0
39.725769,-105.011646,71.04,66.0
39.725757,-105.011873,72.0,67.0
39.725745,-105.012107,73.6,68.0
39.725733,-105.012345,74.56,69.0
39.72565,-105.013548,76.48,74.0
39.725598,-105.014286,78.72,77.0
39.725569,-105.014784,78.72,79.0
39.72553,-105.015543,78.4,82.0
39.725474,-105.016545,78.08,86.0
39.72546,-105.017046,77.76,88.0
39.725452,-105.017542,77.44,90.0
39.725449,-105.018036,76.48,92.0
39.725449,-105.018281,76.48,93.0
39.725451,-105.018526,75.84,94.0
39.725454,-105.018772,76.16,95.0
39.725457,-105.019017,76.16,96.0
39.72546,-105.019262,76.48,97.0
39.725465,-105.01951,76.8,98.0
39.725482,-105.020001,77.44,100.0
39.725494,-105.020248,77.44,101.0
39.725508,-105.020496,76.48,102.0
39.725539,-105.020983,75.52,104.0
39.725562,-105.021468,75.84,106.0
39.725578,-105.021959,76.8,108.0
39.725601,-105.022702,78.4,111.0
39.725612,-105.023203,79.04,113.0
39.725615,-105.023457,79.68,114.0
39.725621,-105.023969,80.64,116.0
39.725618,-105.024756,82.24,119.0
39.725611,-105.025008,82.88,120.0
39.725609,-105.025546,83.2,122.0
39.725608,-105.025815,83.2,123.0
39.725606,-105.026879,82.24,127.0
39.725603,-105.027138,81.6,128.0
39.725598,-105.027398,81.6,129.0
39.725598,-105.027657,81.6,130.0
39.725586,-105.028694,80.32,134.0
39.725581,-105.029203,79.36,136.0
39.725578,-105.029461,79.04,137.0
39.725578,-105.029713,78.72,138.0
39.725576,-105.029964,78.08,139.0
39.725573,-105.030212,77.76,140.0
39.72557,-105.030462,77.44,141.0
39.725575,-105.031206,76.8,144.0
39.725581,-105.031454,76.8,145.0
39.72559,-105.0317,76.8,146.0
39.725626,-105.032682,76.8,150.0
39.725659,-105.033415,76.48,153.0
39.725677,-105.033909,76.8,155.0
39.725683,-105.034657,79.68,158.0
39.725685,-105.034911,80.64,159.0
39.725688,-105.035705,85.76,162.0
39.725691,-105.03598,87.36,163.0
39.725704,-105.038541,88.0,172.0
39.725708,-105.039378,85.44,175.0
39.725711,-105.040193,84.8,178.0
39.72571,-105.040465,83.84,179.0
39.725714,-105.040998,82.56,181.0
39.725718,-105.041789,81.6,184.0
39.725721,-105.04284,84.16,188.0
39.725722,-105.04311,85.44,189.0
39.725721,-105.043385,87.04,190.0
39.725721,-105.043664,88.0,191.0
39.725719,-105.043945,87.04,192.0
39.725719,-105.044772,86.08,195.0
39.725719,-105.045605,87.36,198.0
39.725721,-105.045884,87.68,199.0
39.725726,-105.046725,85.44,202.0
39.725752,-105.047547,85.76,205.0
39.725804,-105.04923,89.92,211.0
39.725802,-105.049805,90.88,213.0
39.725803,-105.051549,90.56,219.0
39.725804,-105.052128,89.6,221.0
39.725808,-105.052988,88.96,224.0
39.725804,-105.054136,90.56,228.0
39.725804,-105.054718,89.92,230.0
39.725802,-105.055006,88.96,231.0
39.725803,-105.055872,91.2,234.0
39.725803,-105.056167,90.56,235.0
39.7258,-105.056456,90.24,236.0
39.725792,-105.057037,90.56,238.0
39.725784,-105.057325,90.56,239.0
39.725774,-105.057616,90.56,240.0
39.725761,-105.057904,90.56,241.0
39.725718,-105.059064,90.56,245.0
39.725716,-105.059354,90.88,246.0
39.725711,-105.060234,92.16,249.0
39.725712,-105.060532,92.8,250.0
39.725708,-105.061129,92.8,252.0
39.725697,-105.063223,95.04,259.0
39.725696,-105.06384,96.64,261.0
39.725693,-105.06415,95.68,262.0
39.72569,-105.064762,95.04,264.0
39.725687,-105.065683,95.68,267.0
39.725683,-105.066605,95.36,270.0
39.725679,-105.067216,94.4,272.0
39.725677,-105.068113,91.84,275.0
39.725677,-105.068992,89.92,278.0
39.725674,-105.069856,88.96,281.0
39.725674,-105.070426,88.96,283.0
39.725671,-105.070709,88.96,284.0
39.725669,-105.071283,89.6,286.0
39.725663,-105.072144,90.56,289.0
39.725659,-105.073023,91.84,292.0
39.725657,-105.073319,92.16,293.0
39.725657,-105.073617,92.48,294.0
39.725656,-105.073916,92.8,295.0
39.725651,-105.074512,92.8,297.0
39.725646,-105.07539,90.56,300.0
39.725645,-105.075682,90.56,301.0
39.725642,-105.076265,90.56,303.0
39.72564,-105.076557,90.88,304.0
39.72564,-105.076849,90.88,305.0
39.725638,-105.077726,91.2,308.0
39.725638,-105.07802,91.2,309.0
39.725638,-105.078313,91.2,310.0
39.725637,-105.078606,90.88,311.0
39.725638,-105.078899,90.56,312.0
39.725637,-105.079188,90.56,313.0
39.725635,-105.079479,89.92,314.0
39.725629,-105.080053,88.64,316.0
39.725628,-105.080624,88.0,318.0
39.725628,-105.081471,88.0,321.0
39.725626,-105.081755,88.32,322.0
39.725626,-105.082039,88.32,323.0
39.725623,-105.082321,87.68,324.0
39.725623,-105.082601,87.36,325.0
39.725617,-105.083164,88.0,327.0
39.725615,-105.083734,88.0,329.0
39.725617,-105.084013,87.68,330.0
39.725612,-105.084572,86.72,332.0
39.725611,-105.084847,86.08,333.0
39.725611,-105.085124,85.76,334.0
39.725609,-105.0854,85.12,335.0
39.725608,-105.085678,84.8,336.0
39.725604,-105.087842,83.52,344.0
39.725604,-105.088111,83.52,345.0
39.725604,-105.088377,83.2,346.0
39.725601,-105.089177,82.88,349.0
39.725601,-105.089442,82.56,350.0
39.725597,-105.089706,82.24,351.0
39.725597,-105.089971,82.24,352.0
39.725594,-105.090234,81.92,353.0
39.725593,-105.090496,81.6,354.0
39.725594,-105.090758,81.28,355.0
39.725592,-105.091021,80.96,356.0
39.725586,-105.092056,80.32,360.0
39.725578,-105.093607,81.28,366.0
39.725576,-105.094392,82.24,369.0
39.725575,-105.094654,82.56,370.0
39.72557,-105.095722,83.52,374.0
39.72557,-105.095993,83.84,375.0
39.725566,-105.096806,84.48,378.0
39.725564,-105.097077,84.16,379.0
39.725564,-105.097614,83.2,381.0
39.725562,-105.097883,82.88,382.0
39.725562,-105.098148,82.56,383.0
39.725556,-105.099222,85.44,387.0
39.725555,-105.099772,87.04,389.0
39.725548,-105.101509,94.08,395.0
39.725547,-105.101811,95.04,396.0
39.725546,-105.102117,96.64,397.0
39.725544,-105.102429,97.28,398.0
39.725542,-105.103046,95.04,400.0
39.725539,-105.103352,95.04,401.0
39.725539,-105.103654,94.4,402.0
39.725533,-105.10515,92.16,407.0
39.725531,-105.105739,91.52,409.0
39.725529,-105.106912,91.2,413.0
39.725529,-105.107204,90.88,414.0
39.725528,-105.107495,90.88,415.0
39.725529,-105.107787,90.24,416.0
39.725529,-105.108077,89.28,417.0
39.725521,-105.1092,86.4,421.0
39.725519,-105.109478,86.72,422.0
39.725519,-105.109755,87.04,423.0
39.725513,-105.110317,88.96,425.0
39.725514,-105.110604,90.24,426.0
39.725511,-105.11179,94.08,430.0
39.72551,-105.112394,94.72,432.0
39.725502,-105.113006,95.36,434.0
39.725502,-105.113312,95.68,435.0
39.7255,-105.113621,96.32,436.0
39.725494,-105.113931,96.96,437.0
39.725494,-105.115189,98.88,441.0
39.725491,-105.115505,99.2,442.0
39.725487,-105.116141,99.52,444.0
39.725488,-105.116458,99.52,445.0
39.725488,-105.11743,99.52,448.0
39.725486,-105.117747,98.56,449.0
39.725487,-105.118062,98.56,450.0
39.725488,-105.118699,98.88,452.0
39.725486,-105.119017,99.2,453.0
39.725486,-105.119334,98.88,454.0
39.725482,-105.119969,98.88,456.0
39.725483,-105.120286,98.88,457.0
39.725482,-105.120919,98.24,459.0
39.725477,-105.121549,97.6,461.0
39.725474,-105.121861,96.96,462.0
39.725471,-105.122481,95.68,464.0
39.725468,-105.123094,94.72,466.0
39.725463,-105.124302,93.44,470.0
39.725457,-105.124898,94.08,472.0
39.725451,-105.126731,94.72,478.0
39.725448,-105.127339,94.72,480.0
39.725448,-105.127642,94.72,481.0
39.725449,-105.127947,95.36,482.0
39.725445,-105.128251,95.68,483.0
39.725445,-105.128866,96.96,485.0
39.725446,-105.129179,97.6,486.0
39.725443,-105.129492,97.92,487.0
39.725438,-105.130123,97.28,489.0
39.725428,-105.131637,93.12,494.0
39.725429,-105.131935,93.12,495.0
39.725437,-105.132536,93.76,497.0
39.725445,-105.132837,94.08,498.0
39.725457,-105.133742,93.44,501.0
39.725456,-105.134631,92.8,504.0
39.725455,-105.13493,93.12,505.0
39.725457,-105.13583,94.72,508.0
39.725451,-105.137388,98.24,513.0
39.725451,-105.138019,97.6,515.0
39.725446,-105.138641,96.64,517.0
39.725446,-105.139262,96.64,519.0
39.725446,-105.139883,96.32,521.0
39.725446,-105.140193,96.32,522.0
39.725445,-105.141429,97.28,526.0
39.725445,-105.142054,97.28,528.0
39.725443,-105.142367,97.6,529.0
39.725448,-105.142682,97.92,530.0
39.725446,-105.144269,97.6,535.0
39.725446,-105.145845,98.88,540.0
39.725443,-105.146481,97.92,542.0
39.725443,-105.148621,93.44,549.0
39.725443,-105.148921,94.08,550.0
39.725443,-105.149223,94.08,551.0
39.725443,-105.149526,93.12,552.0
39.725446,-105.150118,91.52,554.0
39.725446,-105.150414,91.52,555.0
39.725446,-105.151294,91.2,558.0
39.725443,-105.151586,90.88,559.0
39.725443,-105.152172,90.88,561.0
39.725443,-105.152463,90.88,562.0
39.725443,-105.152755,91.52,563.0
39.725443,-105.153048,91.2,564.0
39.725443,-105.153636,91.84,566.0
39.725443,-105.15423,92.16,568.0
39.725443,-105.154525,92.8,569.0
39.725443,-105.154823,92.8,570.0
39.725443,-105.155122,93.12,571.0
39.72544,-105.156628,93.76,576.0
39.725443,-105.156931,93.76,577.0
39.725443,-105.15753,93.12,579.0
39.725443,-105.157826,92.48,580.0
39.725443,-105.15812,92.16,581.0
39.725443,-105.158414,92.48,582.0
39.725443,-105.159004,92.48,584.0
39.725443,-105.159301,92.8,585.0
39.725443,-105.159897,93.12,587.0
39.725441,-105.160197,93.44,588.0
39.72544,-105.160496,93.76,589.0
39.72544,-105.160799,94.08,590.0
39.72544,-105.161102,92.8,591.0
39.725439,-105.161698,92.8,593.0
39.725435,-105.162602,94.72,596.0
39.725437,-105.164729,95.04,603.0
39.725437,-105.165337,93.76,605.0
39.725437,-105.165939,94.4,607.0
39.725432,-105.166862,96.64,610.0
39.725432,-105.167172,97.28,611.0
39.725432,-105.167486,97.28,612.0
39.725432,-105.167797,96.0,613.0
39.725432,-105.168105,96.0,614.0
39.725432,-105.168724,97.6,616.0
39.725432,-105.169038,98.24,617.0
39.725434,-105.170312,98.56,621.0
39.725434,-105.170628,97.28,622.0
39.725432,-105.170944,97.28,623.0
39.725432,-105.171571,97.28,625.0
39.725431,-105.171882,97.6,626.0
39.725431,-105.172196,97.6,627.0
39.725429,-105.172508,97.28,628.0
39.725428,-105.174068,96.96,633.0
39.725431,-105.174382,97.28,634.0
39.725434,-105.174692,96.64,635.0
39.725431,-105.17562,96.0,638.0
39.725431,-105.176237,96.0,640.0
39.725432,-105.176854,96.32,642.0
39.725435,-105.177786,96.32,645.0
39.725435,-105.178094,95.36,646.0
39.725441,-105.178691,88.0,648.0
39.72544,-105.178965,83.52,649.0
39.725457,-105.179708,69.44,652.0
39.72555,-105.180363,68.16,655.0
39.725708,-105.181664,68.48,661.0
39.725711,-105.182103,67.52,663.0
39.72569,-105.182313,65.6,664.0
39.725651,-105.182514,64.0,665.0
39.725445,-105.183053,61.12,668.0
39.725262,-105.18336,59.84,670.0
39.724928,-105.183726,59.84,673.0
39.724671,-105.183922,62.4,675.0
39.724532,-105.184004,63.36,676.0
39.723926,-105.184297,68.16,680.0
39.723768,-105.18437,69.12,681.0
39.723607,-105.184445,70.08,682.0
39.72295,-105.184764,70.72,686.0
39.722469,-105.184993,68.48,689.0
39.72231,-105.185071,67.2,690.0
39.722156,-105.185154,66.88,691.0
39.722006,-105.185245,67.2,692.0
39.721233,-105.186073,68.8,698.0
39.721011,-105.186406,69.76,700.0
39.720895,-105.186573,70.72,701.0
39.720518,-105.18707,75.52,704.0
39.720386,-105.187244,77.44,705.0
39.720118,-105.187603,80.0,707.0
39.719532,-105.188327,84.48,711.0
39.719377,-105.18851,85.76,712.0
39.719215,-105.188694,87.04,713.0
39.718542,-105.189414,89.92,717.0
39.718365,-105.189589,90.56,718.0
39.717817,-105.190103,91.2,721.0
39.71763,-105.190266,89.6,722.0
39.717444,-105.190426,89.92,723.0
39.717257,-105.190581,90.24,724.0
39.716691,-105.191032,88.96,727.0
39.716313,-105.191325,89.92,729.0
39.715534,-105.191888,90.88,733.0
39.71534,-105.192033,91.2,734.0
39.715142,-105.19218,91.84,735.0
39.714349,-105.192788,94.08,739.0
39.713949,-105.193103,95.36,741.0
39.713744,-105.193259,96.32,742.0
39.713332,-105.193573,94.72,744.0
39.712728,-105.194035,93.76,747.0
39.712135,-105.194497,93.44,750.0
39.711527,-105.194959,93.76,753.0
39.710536,-105.195729,94.08,758.0
39.710139,-105.19604,94.4,760.0
39.709938,-105.196196,94.72,761.0
39.709129,-105.196813,94.08,765.0
39.708929,-105.196965,93.44,766.0
39.708534,-105.197268,92.48,768.0
39.708335,-105.197418,92.16,769.0
39.707947,-105.197719,91.2,771.0
39.70775,-105.19787,90.88,772.0
39.707557,-105.198017,90.56,773.0
39.706793,-105.198606,89.6,777.0
39.706603,-105.198752,89.28,778.0
39.705841,-105.199339,90.24,782.0
39.705259,-105.199784,91.52,785.0
39.704673,-105.200237,93.12,788.0
39.704277,-105.200544,94.08,790.0
39.703479,-105.20116,91.52,794.0
39.703286,-105.201309,91.2,795.0
39.703091,-105.20146,91.52,796.0
39.702898,-105.20161,91.84,797.0
39.702312,-105.202069,92.8,800.0
39.70172,-105.202532,94.08,803.0
39.701525,-105.202695,94.72,804.0
39.701329,-105.202862,95.36,805.0
39.701132,-105.203032,96.0,806.0
39.700935,-105.20321,96.64,807.0
39.700738,-105.20339,97.6,808.0
39.700344,-105.203766,96.96,810.0
39.699583,-105.204522,97.6,814.0
39.699017,-105.205081,93.12,817.0
39.698836,-105.205265,93.44,818.0
39.698651,-105.205446,93.44,819.0
39.698468,-105.205626,92.8,820.0
39.698102,-105.205984,93.44,822.0
39.697919,-105.206164,94.4,823.0
39.697545,-105.206533,95.36,825.0
39.697359,-105.206718,95.04,826.0
39.69663,-105.207465,89.28,830.0
39.69631,-105.207855,87.36,832.0
39.696042,-105.208292,85.12,834.0
